Policy name,Ministry,State,Description,Benefits,Eligibility
Financial Assistance To Self-Employment For Trained Disabled Persons,Maharashtra,Maharashtra,"The ""Financial Assistance to Self-Employment for Trained Disabled Persons"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. The objective of this scheme is to provide financial assistance to facilitate the purchase of equipment for those disabled persons who are completing vocational training from government institutions or recognize institution to start their own businesses. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","A Financial Assistance of ₹1,000/- for the Purchase of Tool Kits/Equipment to Start Their Own Business.","The applicant should have completed their Vocational Training in a Government or Government Recognized Institution.The applicant should be a citizen of India.The applicant should be a permanent resident of Maharashtra State.The applicant should be a Person with Disability (Visually Handicapped, Low Vision, Hearing Impaired, Orthopedically Handicapped, etc).The percentage of the disability should be 40% or above."
Post-Matric Scholarship To VJNT Students - Maharashtra,Maharashtra,Central,"The Government of Maharashtra launched a scheme namely “Post-Matric Scholarship to VJNT students” vide G.R. No. EBC 1068/83567/57 dated 24.12.1970 in 1970. This scheme was started by the Government to encourage the student of the Vimukta Jatis & Nomadic Tribes (VJNT) to undergo Post-Matric higher education. Objective:1.	To encourage the VJNT students to undergo Post-Matric Courses.2.	Providing financial assistance for education.3.	Creating a passion for higher education.4.	Providing students the opportunity to go to the mainstream of education through education.        Under this scheme, benefits of Tuition Fees, Exam Fees, and Maintenance Allowance are paid to only VJNT category students. All the eligible VJNT students are paid maintenance allowance from ₹ 90 to ₹ 190 per month for hostellers and ₹ 150 to ₹ 425 per month for day scholar students.","All the Eligible students of VJNT are paid maintenance allowance as under:If Applicant selects Course Group A - for hostlers ₹425/- p.m. & Day Scholars (Non-Hostlers) ₹190/- p.m. (Duration -Admission date to till exam completion date)If Applicant selects Course Group B - for hostlers ₹290/- p.m. & Day Scholars (Non-Hostlers) ₹190/-p.m. (Duration - Admission date to exam completion date)If Applicant selects Course Group C - for hostlers ₹290/- p.m. & Day Scholars (Non-Hostlers) ₹190/- p.m. (Duration - Admission date to till exam completion date)If Applicant selects Course Group D - for hostlers ₹230/- p.m. & Day Scholars (Non-Hostlers) ₹120/- p.m. (Duration - Admission date to till exam completion date)If Applicant selects Course Group E - for hostlers ₹150/- p.m. & Day Scholars (Non-Hostlers) ₹90/- p.m. (Duration - Admission date to till exam completion date)Tuition Fees, Exam Fees, and Maintenance allowance are paid 100% to applicants who are studying in government /aided/non-aided institutions in professional courses and non-professional courses.If the Applicant gets admission in a government hostel then he will be eligible for only 1/3rd amount of the hostler.For B.Ed and D.Ed courses: 100 % benefit (Tuition Fees, Exam Fees, and Maintenance Allowance) is applicable for D.Ed, and B.Ed courses. For students studying in Aided, UnAided for D.Ed and B.Ed courses the Fee structure is applicable as per Government rates for the same course.Note: If the applicant takes an admission on or before the 20th of any month should entitle date maintenance allowance will be issued for that current month. Otherwise, maintenance allowance will be entitled from next month.","The parent's/Guardian's annual income should be less than or equal to ₹1.50 Lac.Applicants should belong to the VJNT category.Applicants must be residents of Maharashtra.Applicants must be pursuing the education course approved by the government from the class Post-Matric.Maintenance allowance & exam fees are paid to the applicant if the applicant gets promoted to the next higher class.If the applicant fails in a particular year then he will get the Tuition Fees, Exam Fees, and Maintenance allowance of that particular academic year but he/she will not get the benefit until he/she gets promoted to the next higher class.Applicant should come through CAP round for only professional courses.Only two children (i) any number of girl applicants allowed. ii) Boys applicant maximum 2 of the same parent) of the same parents will be eligible for the Scholarship.75 % attendance is mandatory for the current year.The applicant will be eligible for a scholarship if he/she changes the course Non – Professional to Professional but he will not be eligible if he/she changes the course from Professional to Non – Professional.Scholarships/freeship will continue until the applicant completes one course. Ex. - 11th, 12th Arts - B.A., M.A., M.Phil., P.H.D. If, the applicant completed B.A and B.Ed. course and later after taking admission for M.A., for M.A. course he/she will not be allowed for scholarship/freeship. But after admission to M.B.A. after B.Ed, it can be eligible for scholarship/freeship as it is a professional postgraduate course.Applicant studying in particular professional/Non-Professional course and availing benefits of scholarship/freeship for that academic course and if he/she wants to change his existing Professional / Non-Professional course in between academic years he/she will not be eligible for freeship/scholarship for further course.Renewal Policy:Applicants have to pass the previous year's examination.In the case of VJNT, if the applicant fails for a year then the applicant is not paid any reimbursement for that particular year.For Group A – If an applicant pursuing the Group-A course fails in the examination for the 1st time the award may be renewed. For second & sub sequent failure in any class, the Applicant shall bear his / her own expenses until he/she secures promotion to the next higher class.For Group B,C,D,E - he/she has to secure promotion to a higher class (For second & subsequent failure in any class the applicant shall bear his / her own expenses until he/she secures promotion to the next higher class.)If due to any medical condition or due to any unforeseeable event the Applicant cannot appear in the annual examination, the headmaster of the college can approve or certify that if the Applicant would have appeared in the annual examination, he would have been able to pass the examination. This will be only allowed if the head of the institution is satisfied by the submission of medical proof or any other required sufficient proof that the Applicant presents to the college."
National Renewable Energy Internship Scheme,Ministry Of New and Renewable Energy,Central,"The ""National Renewable Energy Internship (NREI) Scheme"" by the Ministry of New and Renewable Energy (MNRE) provides internship opportunities to facilitate students pursuing undergraduate/graduate/post-graduate degrees or research scholars enrolled in recognized institutes/universities within India or abroad, as “Interns”. The students of various Engineering, Science, Management, law and other streams may undertake internships in the Ministry and in organizations under its aegis to understand various activities of the Ministry to become Researchers/Managers in the renewable energy area. These interns will be attached to the senior-level officers of the Ministry in various Programme Divisions. These interns can work for a period of two months to six months. The scheme also provides opportunities to personnel engaged in projects related to policy research/promotion/demonstration and deployment of renewable energy in national and international research/institutes and financial institutions to work as Interns in the Ministry /its organisations.﻿PurposeThe ""Interns"" shall have an opportunity to learn about the Ministry’s functioning, programmes and policy, and issues in Renewable Energy and contribute to generating inputs such as analysis, technical reports/ technology advancement/ project reports/policy papers, etc. for the furtherance of the objectives of this Ministry.﻿PeriodThe internship is available twice a year based on the MNRE requirement.﻿NumberA maximum of 20 interns per year. ﻿DurationWill be from two to six months to be counted from the day of the start of the internship. No intern would be allowed to repeat or extend the internship.","StipendA stipend amount of ₹ 15,000/- per month will be provided for physical internships only. NOTE: For virtual internships, the stipend will not be provided.﻿Certificate of InternshipCertificates will be issued to the interns on satisfactory completion of their internship and evaluation of their Report/Paper by the concerned.﻿Logistic SupportMNRE shall provide them with internet facilities and other necessities as deemed fit by the concerned Heads for physical internship. NOTE: Interns will be required to have their own Laptops. They shall also make their own lodging and boarding arrangements.","The applicant should be pursuing a graduate or post-graduate degree course in Engineering/ Management/ Law/ Science stream/Renewable Energy in a recognized University/institution within India or abroad.ORThe applicant should be working in the Renewable Energy area in National, International, and Non-Governmental Institutes/organisations.﻿NOTE: MNRE will have the power to relax any of the above conditions mentioned, in respect of any deserving candidate."
Financial Assistance For Aids And Appliances For Disabled Persons,Maharashtra,Maharashtra,"The ""Financial Assistance for Aids and Appliances for Disabled Persons"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. The objective of this scheme is to provide assistance to Persons with Disabilities (PwDs) for the purchase of aids and appliances as per their age group and the type of disability. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","For Hearing Handicapped: Hearing Aids.For Orthopedically Handicapped: Crutches, Tricycles, Calipers, Wheel Chair.For Visually Handicapped: Tape Recorders and Blank Cassettes for Education Purposes Up to Cost of ₹3,000/-.","The applicant should be a citizen of India.The applicant should be a permanent resident of Maharashtra State.The applicant should be a Person with Disability (Visually Handicapped, Low Vision, Hearing Impaired, Orthopedically Handicapped, etc).The percentage of the disability should be 40% or above.For financial assistance of 100% of the cost of the aids and appliances, the monthly income of the applicant should be less than ₹1,500/-.For financial assistance of 50% of the cost of the aids and appliances, the monthly income of the applicant should be between ₹1,500/- to ₹2,000/-."
SERB Science and Technology Award for Research,Ministry Of Science And Technology,Central,"The ""SERB Science and Technology Award for Research (SERB-STAR)” is a prestigious award instituted by the Science and Engineering Research Board (SERB) to recognize and reward the outstanding performance of Principal Investigators (PIs) of SERB Projects. SERB has been supporting basic research in frontier areas of science and engineering through its various programs and schemes. The number of researchers under the ambit of SERB has increased over the years and they contribute significantly towards the progress of science and engineering in the country through their research endeavour. SERB-STAR is an initiative to acknowledge such exemplary contributions in research and also to motivate the PIs of ongoing projects for outstanding performance.Scientific Social Responsibility:SERB has adopted the Scientific Social Responsibility (SSR) Policy to imbibe a culture of social commitment among SERB Grantees. The policy intends to effectively utilize the scientific infrastructure and expertise of SERB grantees to benefit other S&T stakeholders, especially the less-endowed researchers and society. SERB Grantees need to undertake some SSR activities during their project period. SSR activities need to be chosen during the submission process. Depending on the activities chosen additional budget would be provided under a separate head to carry out the chosen activities.","Fellowship of ₹15,000/- per month, research grant of ₹10 lakh per annum, and ₹1 lakh per annum as overhead charges for a period of three years.Up to 30 awards per year and not more than 90 at any time.","The nominee should have completed an individual-centric SERB project in the previous three financial years with an ""Excellent"" grade. Only the Principal Investigator of such projects and not the Co-Principal Investigators shall be eligible.The applicant must hold a regular academic/research position in a recognized academic institution or national laboratories or any other recognized R&D institution.The age of the nominee should be within 40 to 50 years as of December 31 of the year in which the call is made.Principal Investigators who have an ongoing fellowship/honorarium such as the JC Bose Fellowship, Shanti Swarup Bhatnagar Prize, Swarnajayanti Fellowship, etc. are not eligible.Individuals who are nominated for SERB STAR but are unsuccessful can be re-nominated for consideration in the following year subject to fulfilling other eligibility criteria.Note: The term ""Regular"" refers to:i.	Those who are appointed by the institutions against the 'sanctioned' post. Such positions are regularized/confirmed after the probation period is over.ii.	Those who are appointed in tenure posts but are likely to be renewed after the end of the tenure."
Widow B.Ed Scheme-Rajasthan,Rajasthan,Central,"The state government of Rajasthan reimburses the course fees for B.Ed. in teacher training institutions for widows or abandoned women who enroll in the program, providing them with much-needed support.","Rs. 17,880 Rs. (Fee Reimbursement). ",It is mandatory for the candidate to be of Rajasthan origin. Only women taking B.Ed training will be made beneficiaries.Applicants must be regular students of the B.Ed training program from any government and recognized private institute in Rajasthan.It is necessary for the beneficiary woman to be divorced and abandoned.Women who have obtained a B.Ed degree earlier by taking admission in B.Ed course will be ineligible.75 percent attendance of women in the concerned institute will be mandatory.The female candidate should not be a beneficiary of any other scholarship or equivalent scheme of the Government.
Schedule Caste Pre-Metric Scholarship Class 06 To 08,Rajasthan,Central,"The Rajasthan government aims to provide educational opportunities to students belonging to Schedule Caste student, specifically those studying in grades 6 to 8. This program targets students from Schedule caste whose parents/guardians are not income taxpayers and not getting any other type of scholarship or allowance for study from central, state / public sources.",For Schedule Caste Boy Students Rs. 75/- per month.For Schedule Caste Girl Students Rs. 125/- per month.,"The student should belong to the Scheduled Caste category.The student should study as a regular student in classes 6 to 8 in schools run by the Central Government, State Government, Municipalities and schools recognized by the Department of Education.Student guardians should not be income taxpayers in case of parent(s) are not alive. The students who are not getting any other type of scholarship or allowance for study from central, state / public sources.The student who has not failed in the lower class in the last session. If he fails in the examination of any year, his scholarship will be stopped, but if he passes the same class in the next examination, he will be eligible for scholarship in the new class from the next session. For this, the student will have to apply for a new scholarship again. "
Economic Help To Sahariya Tribal Girl Students (Class 11 And 12),Rajasthan,Central,ObjectiveTo promote girl education by motivating Saharia tribe girl students of Baran district to study in higher education and provide financial assistance to Sahariya tribe girl students for encouragement for higher secondary education. Those who are studying regularly in government schools in higher secondary classes (11th and 12th) and who have not got accommodation in government hostels.﻿﻿,"The student will be paid Rs. 3,500/- for a total of 10 months at the rate of Rs. 350/- per month.","The girl student should belong to the Saharia tribe of the Baran district of Rajasthan.The girl child should be studying regularly in a government school.The mother/father/guardian/guardian of the student should not be an income taxpayer.The girl students, who are studying in residential schools/ashram hostels run by the government, they will not be entitled.Vaidya Bhamashah card and Aadhaar should be there.Students should be a native of Rajasthan."
Incentive To Saharia Students For B.Ed,Rajasthan,Central,"The basic objective of the scheme is to provide financial assistance to the students of the Saharia region for B.Ed training so that the tribal students of the Saharia region can keep their participation in the government service. In this scheme, hostel fees, scholarships (stipends), tuition fees, and stationery are given to these students. Provision has been made to give financial assistance in the form of The benefit of the scheme will be payable only for 10 months.","Saharia tribe students who are taking regular B.Ed training are given Rs.30,000 in the first year and Rs.30,000 in the second year. Details are given below :Rs. 26,000/- for college fees and purchase of books.Rs. 32,000/- for house rent and food.Rs. 2,000/- for clothes.﻿","The student should be a native of Rajasthan.The student should belong to Saharia class, a tribe of the Baran district of Rajasthan.The student should be a regular trainee in the government / non-government BEd training institute.The student's mother/father/guardian/guardian should not be a taxpayer.The student who is studying while living in the hostel is run by the government. They will not be entitled to benefit under the said scheme.Students should have a Vaidya Bhamashah card and Aadhaar. "
Pradhan Mantri Matsya Sampada Yojana,"Ministry of Fisheries,Animal Husbandry and Dairying",Central,"The scheme ""Pradhan Mantri Matsya Sampada Yojana (PMMSY)"" was launched by the Department of Fisheries; Ministry of Fisheries, Animal Husbandry, and Dairying; to bring about ecologically healthy, economically viable, and socially inclusive development of the fisheries sector of India.﻿PMMSY shall bring about Blue Revolution through sustainable and responsible development of the fisheries sector in India at a total investment of ₹ 20,050 crore for holistic development of the fisheries sector including the welfare of fishers. PMMSY is implemented in all the States and Union Territories for a period of five years from FY 2020-21 to FY 2024-25. In the Union Budget 2023-24, a new sub-scheme under the PMMSY has been announced with an investment of Rs.6,000 crore to enable activities of fish vendors, fishermen, and micro and small enterprises for improving value chain efficiencies and expanding the market.﻿Objectives of PMMSY1. Harness the potential of the fisheries sector in a sustainable, responsible, inclusive, and equitable manner.2. Enhance fish production and productivity through expansion, intensification, diversification, and productive utilization of land and water.3. Modernize and strengthen the value chain including post-harvest management and quality improvement.4. Double fishers and fish farmers’ incomes and generate meaningful employment.5. Enhance the contribution of the fisheries sector to Agricultural GVA and exports.6. Ensure social, physical, and economic security for fishers and fish farmers.7. Build a robust fisheries management and regulatory framework.﻿Targets of PMMSY﻿Fish Production and Productivity - 1. Increasing fish production to 22 million metric tons by 2024-25 from 13.75 million metric tons in 2018-19.2. Enhancing aquaculture productivity to 5 tons per hectare from the current national average of 3 tons.3. Augmenting domestic fish consumption from 5 kg to 12 kg per capita.﻿Economic Value Addition - 1. Increasing contribution of the fisheries sector to the Agriculture GVA to about 9% by 2024-25 from 7.28% in 2018-19.2. Doubling export earnings to ₹ 1,00,000 crores by 2024-25 from ₹ 46,589 crores in 2018-19.3. Facilitating private investment and growth of entrepreneurship in the fisheries sector.4. Reduction of post-harvest losses from the reported 20-25% to about 10%.﻿Enhancing Income and Employment Generation - 1. Generating 55 lakh direct and indirect employment opportunities along the value chain.2. Doubling the incomes of fishers and fish farmers.","Financial assistance for fishing infrastructure: The scheme provides financial assistance to develop fishing infrastructure like fishing harbors, fish landing centers, fish markets, fish feed plants, fish seed farms, and fish processing units.Financial assistance for fish farmers: The scheme provides financial assistance to fish farmers for various activities like the construction of ponds, cages, hatcheries, and nurseries, and for the installation of aeration systems and other equipment.Assistance for fisheries management: The scheme provides financial assistance for the management of fishery resources through the adoption of scientific methods, setting up of fishery management plans, and developing fishery information systems.Credit-linked subsidy for fish farmers: The scheme provides a credit-linked subsidy for fish farmers to encourage them to take up fish farming as a business.Assistance for marketing and export of fish products: The scheme provides assistance for the development of cold chains, fish processing units, and packaging facilities to promote the export of fish products.",1.	Fishers.2.	Fish Farmers.3.	Fish Workers and Fish Vendors.4.	Fisheries Development Corporations.5.	Self Help Groups (SHGs)/joint Liability Groups (JLGs) in the Fisheries Sector.6.	Fisheries Cooperatives.7.	Fisheries Federations.8.	Entrepreneurs and Private Firms.9.	Fish Farmers Producer Organizations/companies (FFPOs/Cs).10.	SCs/STs/Women/Differently Abled Persons.11.	State Governments/UTs and Their Entities.12.	State Fisheries Development Boards (SFDB).13.	Central Government and Its Entities.
Persons With Disabilities Scheme In Colleges: Financial Assistance To Visually Challenged Teachers,Ministry Of Social Justice and Empowerment,Central,"The Scheme has been formulated to help visually challenged permanent teachers to pursue teaching and research with the help of a Reader and by using teaching and learning aids by way of providing Reader’s Allowance and funds for the purchase of Braille books, recorded materials, etc. ﻿OBJECTIVE To provide a facility to help visually challenged permanent teachers to achieve self-dependence by using various aids for teaching, learning, and research. ﻿﻿","Allowance to visually challenged permanent teachers will be Rs.36000/- p.a. The amount is to be utilized for the following purposes: Payment to Reader Purchase of Braille Books/ Material Purchase of recorded materials Any other related/ required material/equipment for research, teaching, and learning. The amount payable to Reader shall not exceed Rs.50/- per hour. The College shall reimburse the amount to visually challenged teachers on receipt of the actual amount received by the Reader and actual expenditure incurred by the visually challenged teacher subject to a maximum of Rs.36000/- per annum. Bills, in original, will be required to be submitted by the teacher to the college. However, these are not required to be submitted to the UGC. The scheme will end with the Plan period.","All the visually challenged teachers who are working in colleges in India, which are included under Sections 2(f) and 12B of the UGC Act, are covered under the scheme. "
Rajasthan Chief Minister's Relief Fund - Accident Assistance,Rajasthan,Rajasthan,"Launched in April 1999, ""Rajasthan Chief Minister's Relief Fund - Accident Assistance"" is a scheme by the Chief Minister's Secretariat, Govt. of Rajasthan. In case of death due to accident, ₹ 1,00,000 is provided to the dependent of the deceased. In case of serious injury, assistance should be approved up to ₹ 20,000, keeping in view the seriousness of the injury to the ordinary injured. A revolving fund of ₹20,00,000 each has been made available to all district collectors. The assistance is ""one-time full-support"" and is sanctioned by the concerned District Collector. For assistance, one has to apply either to the Tehsil/District Collector's Office or to the Chief Minister's Office.","In case of death due to accident, ₹ 1,00,000 is provided to the dependent of the deceased. In case of serious injury, assistance should be approved up to ₹ 20,000, keeping in view the seriousness of the injury to the ordinary injured. A revolving fund of ₹20,00,000 each has been made available to all district collectors. The assistance is ""one-time full-support"" and is sanctioned by the concerned District Collector.In case of death of a seriously injured person in an accident while undergoing treatment, assistance is given on applying within a period of 6 months from the date of death instead of the date of application.","The victim should be a resident of the state of Rajasthan.The victim should have suffered serious injury / death.In case of death, the assistance is payable only to the dependent parents/husband-wife/son-daughter of the deceased in the accident. Under special circumstances, assistance can be given to grandparents/dependent siblings with the consent of the Chief Minister's Office. In cases of murder and rape, action should be taken to give compensation under the Rajasthan Victim Compensation (Amended) Scheme-2015 under the provision of providing assistance in cases of murder and rape.The applicant must apply within a maximum period of 6 months from the date of accident."
Leprosy Pension Scheme,Uttar Pradesh,UP,"    Leprosy Pension Scheme has been started by the Government of Uttar Pradesh and operated by the Department of Empowerment of Persons with Disabilities, Uttar Pradesh.    The main objective of the scheme is to provide a grant-in-aid for the maintenance of persons with disabilities and leprosy, whose family income is not sufficient for them. ",The rate of grant per beneficiary per month will be Rs. 3000/- who became disabled due to Leprosy.,"It is necessary to be a permanent resident of Uttar Pradesh.Disabled due to leprosy (with any percentage of disability).Persons with disabilities due to leprosy may belong to any age group.Must be below the poverty and should be under Rs. 56,460/- per annum for urban and Rs. 46,080/- per annum for rural areas. Are not taking advantage of other pension schemes."
Marriage Incentive Reward Scheme,Uttar Pradesh,Central,"This is a State Sponsored Scheme and only the citizens who are domiciled in the State of  Uttar Pradesh can apply to this scheme. By the Government of Uttar Pradesh, the Marriage Incentive Reward scheme was initiated prizes are given to Divyangjan for getting married. The marriage should be registered with the Registrar of the State and one or both should be a differently able person. ","In the case of the young man with the disability: Rs. 15,000/- is provided. In the case of the girl with the disability Rs. 20,000/- is provided. In case of disability of both young man and girl Rs. 35,000/- is provided. ",Certificate of minimum 40% disability.The couple should be a permanent resident of Uttar Pradesh or its domicile for at least five years.None of the members of the couple has been convicted in any criminal case.The age of the girl child in the couple should not be less than 18 years and not more than 45 years at the time of marriage. The age of the man should not be less than 21 years and not more than 45 years  at the time of marriageNo one from the couple is an income taxpayer.The marriage has been registered.
Pre-Matric Scholarship,Ministry Of Social Justice and Empowerment,UP,"Education is top seeded to uplift the backward classes. Because of lack of education, a social category remains backward. Inspite of long duration passed since independence of the country, expected improvement is not seen in the educational status of Other Backward Classes. Many efforts have been made to improve the educational status.  At present, Fee Reimbursement scheme is being operated in online mode by Department of Backward Classes Welfare with the objective of development of backward classes and uplifting their educational status.  Under this scheme, students of Other Backward Classes studying in all government schools, aided and recognized educational institute are being provided with the scholarship each year.  Department of Backward Classes Welfare is continuously working to uplift the educational status of backward classes.",Monthly Rs. 150/- for a maximum of 10 months. Annually Rs. 750/- ad hoc grant in one go.,"Native and studying in Uttar Pradesh. Annual income of the parents/guardians of the students upto Rs. 2 Lakh.Students studying in government schools, aided and recognized educational institutes (provided the availability of the budget). ।﻿"
Free Motorized Tricycle Scheme for Persons with Disabilities,Uttar Pradesh,UP,"The ""Free Motorized Tricycle Scheme for Persons with Disabilities"" aims to empower individuals facing mobility challenges due to disabilities. Launched in 2020 by the Government of Uttar Pradesh, the program provides free motorized tricycles to those struggling to integrate into society due to physical limitations. This initiative seeks to facilitate their economic and social rehabilitation, granting them greater independence and participation in daily life.﻿Eligibility for the program is determined by several factors. Individuals suffering from conditions like muscular dystrophy, stroke, cerebral palsy, or hemophilia may qualify, provided they meet specific criteria. These include good eyesight, mental capacity, and sufficient upper body strength to operate the tricycle while seated. Additionally, the applicant must have a disability certified by the Chief Medical Officer of their district at a minimum of 80%.","The maximum grant amount under this scheme is the motorized actual price of tricycles or ₹25,000/- whichever minimum per person with disabilities will be permissible.Note: If the cost of a motorized bicycle exceeds ₹25,000/-, the expenditure incurred in addition to the maximum grant amount of ₹25,000/- will be borne by the beneficiary himself.","Beneficiary should be resident of Uttar Pradesh.Beneficiary age should be 16 old or above.Family annual income must not be exceed ₹1,50,000/- from all the sources. Beneficiary can get the benefits only at once. Beneficiary must not be previously benefited by a motorized tricycle from the Government of India/Local Bodies/Member of Legislative Assembly Fund/MPLADS or other Government or Government funded sources.Applicants must have disability of 80% or more and certified by the Chief Medical Officer of the district.﻿"
Shop Construction/Shop Operation Scheme For Rehabilitation Of PwDs,Uttar Pradesh,Central,"The ""Shop Construction/Shop Operation Scheme For Rehabilitation Of PwDs"" started to support disabled people in the Uttar Pradesh State. Under this scheme, financial Assistance is provided to eligible disabled persons to start their own shop/business for Rehabilitation. Site selection for Shop Construction/Buying Shop/Taking Shop on Rent:Urban Area - A place where there is a complete possibility of running a business.Rural Area - A place where there is easy transportation and there is a possibility of running a business.Process of Payment:Applications will be accepted as per rules based on the principle of first come and first serve and payment will be made in their bank account through e-payment.Recovery of LoanThe basic loan sanctioned for the construction of the shop will be recovered in thirty equal instalments at the rate of Rs. 500/- per quarterly instalment after one year of payment of the entire amount of loan and grant.The basic loan sanctioned for the purchase of the shop will be recovered in thirty equal instalments at the rate of Rs. 500/- per quarterly instalment after three months of payment.The basic loan sanctioned for the purchase of the Khokha/Gumti/Handcart will be recovered in thirty equal instalments at the rate of Rs. 250/- per quarterly instalment after three months of payment.The interest amount will be recovered after the recovery of the basic loan sanctioned for the construction of the shop/ Khokha, Gumti, and Handcart. This recovery will be done in 24 equal monthly instalments. The beneficiary can also pay a lump sum of the entire amount of interest.","An amount of Rs. 20,000/- is allocated for the establishment of a shop.Out of Rs. 20,000/-, Rs. 15,000/- is provided in the form of a loan at 4% interest and Rs. 5,000/- is provided as a grant.An amount of Rs. 10,000/- is allocated for the operation of the shop/khokha/gumti/hand cart.Out of Rs. 10,000/-, Rs. 7,500/- is provided in the form of a loan at 4% interest and Rs. 2,500/- is provided as a grant.﻿","Certificate of minimum 40% disability (Certificate issued by Chief Medical Officer, Doctor of Community Health Centre/Primary Health Centre will only be valid).Persons with Disabilities of all categories who are citizens of Uttar Pradesh.The age of the Applicant should not be less than 18 years and should be less than 60 years.Persons with Disabilities who are not convicted in any criminal or financial matters and no government money/amount should be payable against themPersons with Disabilities should own 110 sq. ft. of land for shop construction or should be able to buy/take the land of the said area from their resources.The tenant should be given a tenure lease for a period of 5 years by the Persons with Disabilities for the operation of the shop available to them (Rent and working capital)Persons with disabilities whose annual income does not exceed twice the income limit prescribed by the government from time to time to the poverty line."
Divyang Pension Yojana,Uttar Pradesh,UP,"The pension scheme has been started by the state government to provide some financial assistance per month to the disabled person. This will help them a lot in running their livelihood, and the standard of living will be better. The pension amount given to them per month by the government is increased from time to time. ","The Department of Empowerment of Persons with Disabilities provides a grant at the rate of Rs. 1,000/- per month per beneficiary ","The age of the applicant should be 18 years or more.Applicant must be a permanent resident of Uttar Pradesh.Should have a minimum of 40 percent disability.The person getting pension/grant/assistance under the applicant's old age pension, widow pension, socialist pension or any other similar scheme and the person receiving free maintenance in government institutions/homes should not be eligible.The annual income of the applicant or his family is within the definition of the poverty line (currently fixed at Rs. 46,080/- in rural areas and Rs. 56,460/- per family per year in urban areas) will be eligible for the grant."
